Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"Lorong Pisang Udang, Singapore",2,13-04-18,"1.3433911, 103.7720538",Bukit Panjang ,0.6,0.4,0.6,0.6,—,—,—,—,—
"Yuk Tong Avenue, Singapore",1,13-04-18,"1.3447663, 103.7728106",Bukit Panjang ,0.6,0.4,0.6,0.6,—,—,—,—,—
"Eastwood Drive, Singapore",14,13-04-18,"1.3233243, 103.9557363",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Green, Singapore",1,13-04-18,"1.3222849, 103.9548450",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Place, Singapore",1,13-04-18,"1.3221148, 103.9562737",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Terrace, Singapore",1,13-04-18,"1.3218063, 103.9569024",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Way, Singapore",1,13-04-18,"1.3229592, 103.9573462",Simei ,0,0,0,0,—,—,—,—,—
"Cheng Soon Crescent, Singapore",1,13-04-18,"1.3363084, 103.7725246",Clementi ,0,0,0,0,29.1,34.6,26.4,6.5,34.2
"Eng Kong Terrace, Singapore",6,13-04-18,"1.3365850, 103.7695001",Clementi ,0,0,0,0,29.1,34.6,26.4,6.5,34.2
"Lorong Kismis (Kismis View), Singapore",1,13-04-18,"1.3390044, 103.7717721",Clementi ,0,0,0,0,29.1,34.6,26.4,6.5,34.2
"Toh Yi Drive, Singapore",3,13-04-18,"1.3380803, 103.7716335",Clementi ,0,0,0,0,29.1,34.6,26.4,6.5,34.2
"Toh Yi Road, Singapore",7,13-04-18,"1.3376793, 103.7710754",Clementi ,0,0,0,0,29.1,34.6,26.4,6.5,34.2
"Bedok Reservoir Road (Blk 135), Singapore",1,13-04-18,"1.3331404, 103.9122693",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 136), Singapore",3,13-04-18,"1.3335538, 103.9135607",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 137), Singapore",1,13-04-18,"1.3337227, 103.9128130",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 139), Singapore",5,13-04-18,"1.3345066, 103.9137344",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 142), Singapore",1,13-04-18,"1.3357141, 103.9132888",Chai Chee ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 541), Singapore",3,13-04-18,"1.3693135, 103.9511768",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 544), Singapore",1,13-04-18,"1.3689965, 103.9521514",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 553), Singapore",1,13-04-18,"1.3680413, 103.9526953",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Choa Chu Kang Street 51 (Blk 504), Singapore",1,13-04-18,"1.3891451, 103.7426289",Choa Chu Kang (South) ,0.2,0.2,0.2,0.2,29.4,34.5,26.6,6.8,32
"Choa Chu Kang Street 51 (Blk 513), Singapore",1,13-04-18,"1.3897874, 103.7425158",Choa Chu Kang (South) ,0.2,0.2,0.2,0.2,29.4,34.5,26.6,6.8,32
"Gangsa Road (Blk 153), Singapore",1,13-04-18,"1.3750816, 103.7653500",Bukit Panjang ,0.6,0.4,0.6,0.6,—,—,—,—,—
"Gangsa Road (Blk 154), Singapore",1,13-04-18,"1.3748817, 103.7650558",Bukit Panjang ,0.6,0.4,0.6,0.6,—,—,—,—,—
"Goldhill Avenue, Singapore",1,13-04-18,"1.3207212, 103.8329972",Newton ,0,0,0,0,29.1,33.3,27,6.8,40.3
"Goldhill Drive, Singapore",1,13-04-18,"1.3209825, 103.8323938",Newton ,0,0,0,0,29.1,33.3,27,6.8,40.3
"Hougang Street 91 (Blk 915), Singapore",1,13-04-18,"1.3775517, 103.8837018",Buangkok ,0,0,0,0,—,—,—,—,—
"Woo Mon Chew Road, Singapore",2,13-04-18,"1.3153401, 103.9294957",Chai Chee ,0,0,0,0,—,—,—,—,—
"Woodlands Avenue 4 (Blk 610), Singapore",1,13-04-18,"1.4353872, 103.7963374",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Woodlands Drive 50 (Blk 899B), Singapore",1,13-04-18,"1.4361452, 103.7954093",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Yishun Street 22 (Blk 262), Singapore",1,13-04-18,"1.4358023, 103.8391521",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 22 (Blk 269A), Singapore",1,13-04-18,"1.4368285, 103.8409733",Yishun ,0,0,0,0,—,—,—,—,—
"Woodlands Avenue 6 (Blk 724), Singapore",1,16-04-18,"1.4444802, 103.7986441",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Circle (Blk 726), Singapore",2,16-04-18,"1.4441204, 103.7995747",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Circle (Blk 728), Singapore",1,16-04-18,"1.4429412, 103.7989657",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Circle (Blk 729), Singapore",1,16-04-18,"1.4425116, 103.7985786",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Circle (Blk 730), Singapore",2,16-04-18,"1.4425118, 103.7978422",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Circle (Blk 733), Singapore",10,16-04-18,"1.4436850, 103.7987597",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Circle (Blk 734), Singapore",2,16-04-18,"1.4439831, 103.7980353",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Circle (Blk 735), Singapore",3,16-04-18,"1.4434015, 103.7971298",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Circle (Blk 738), Singapore",7,16-04-18,"1.4442067, 103.7974920",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Circle (Blk 739), Singapore",2,16-04-18,"1.4440644, 103.7967676",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Drive 70 (Blk 714), Singapore",1,16-04-18,"1.4420886, 103.7987371",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Chun Tin Road, Singapore",3,16-04-18,"1.3419378, 103.7738584",Clementi ,2.8,2.4,2.4,2.4,26.2,29,25,3.6,22.7
"Jalan Jurong Kechil, Singapore",1,16-04-18,"1.3429015, 103.7704492",Clementi ,2.8,2.4,2.4,2.4,26.2,29,25,3.6,22.7
"Lorong Pisang Asam, Singapore",6,16-04-18,"1.3436314, 103.7727481",Bukit Panjang ,1.2,0.8,0.8,1,—,—,—,—,—
"Lorong Pisang Emas, Singapore",13,16-04-18,"1.3439384, 103.7715726",Bukit Panjang ,1.2,0.8,0.8,1,—,—,—,—,—
"Lorong Pisang Hijau, Singapore",2,16-04-18,"1.3442145, 103.7727925",Bukit Panjang ,1.2,0.8,0.8,1,—,—,—,—,—
"Lorong Pisang Raja, Singapore",3,16-04-18,"1.3430639, 103.7727867",Clementi ,2.8,2.4,2.4,2.4,26.2,29,25,3.6,22.7
"Lorong Pisang Udang, Singapore",2,16-04-18,"1.3433911, 103.7720538",Bukit Panjang ,1.2,0.8,0.8,1,—,—,—,—,—
"Yuk Tong Avenue, Singapore",1,16-04-18,"1.3447663, 103.7728106",Bukit Panjang ,1.2,0.8,0.8,1,—,—,—,—,—
"Eastwood Drive, Singapore",18,16-04-18,"1.3233243, 103.9557363",Simei ,1,0.4,0.4,0.6,—,—,—,—,—
"Eastwood Green, Singapore",3,16-04-18,"1.3222849, 103.9548450",Simei ,1,0.4,0.4,0.6,—,—,—,—,—
"Eastwood Terrace, Singapore",1,16-04-18,"1.3218063, 103.9569024",Simei ,1,0.4,0.4,0.6,—,—,—,—,—
"Eastwood Way, Singapore",1,16-04-18,"1.3229592, 103.9573462",Simei ,1,0.4,0.4,0.6,—,—,—,—,—
"Jalan Greja, Singapore",3,16-04-18,"1.3237034, 103.9550755",Simei ,1,0.4,0.4,0.6,—,—,—,—,—
"Pesari Walk, Singapore",1,16-04-18,"1.3245905, 103.9542040",Simei ,1,0.4,0.4,0.6,—,—,—,—,—
"Taman Bedok, Singapore",1,16-04-18,"1.3247113, 103.9541043",Simei ,1,0.4,0.4,0.6,—,—,—,—,—
"Cheng Soon Crescent, Singapore",1,16-04-18,"1.3363084, 103.7725246",Clementi ,2.8,2.4,2.4,2.4,26.2,29,25,3.6,22.7
"Eng Kong Terrace, Singapore",6,16-04-18,"1.3365850, 103.7695001",Clementi ,2.8,2.4,2.4,2.4,26.2,29,25,3.6,22.7
"Lorong Kismis (Kismis View), Singapore",1,16-04-18,"1.3390044, 103.7717721",Clementi ,2.8,2.4,2.4,2.4,26.2,29,25,3.6,22.7
"Toh Yi Drive, Singapore",3,16-04-18,"1.3380803, 103.7716335",Clementi ,2.8,2.4,2.4,2.4,26.2,29,25,3.6,22.7
"Toh Yi Road, Singapore",8,16-04-18,"1.3376793, 103.7710754",Clementi ,2.8,2.4,2.4,2.4,26.2,29,25,3.6,22.7
"Bedok Reservoir Road (Blk 135), Singapore",1,16-04-18,"1.3331404, 103.9122693",Chai Chee ,1,0.4,0.4,0.6,—,—,—,—,—
"Bedok Reservoir Road (Blk 136), Singapore",3,16-04-18,"1.3335538, 103.9135607",Chai Chee ,1,0.4,0.4,0.6,—,—,—,—,—
"Bedok Reservoir Road (Blk 137), Singapore",1,16-04-18,"1.3337227, 103.9128130",Chai Chee ,1,0.4,0.4,0.6,—,—,—,—,—
"Bedok Reservoir Road (Blk 142), Singapore",1,16-04-18,"1.3357141, 103.9132888",Chai Chee ,1,0.4,0.4,0.6,—,—,—,—,—
"Bedok Reservoir Road (Blk 145), Singapore",1,16-04-18,"1.3343129, 103.9119974",Chai Chee ,1,0.4,0.4,0.6,—,—,—,—,—
"Gangsa Road (Blk 153), Singapore",1,16-04-18,"1.3750816, 103.7653500",Bukit Panjang ,1.2,0.8,0.8,1,—,—,—,—,—
"Gangsa Road (Blk 154), Singapore",2,16-04-18,"1.3748817, 103.7650558",Bukit Panjang ,1.2,0.8,0.8,1,—,—,—,—,—
"Hazel Park Terrace (Hazel Pk Condo), Singapore",2,16-04-18,"1.3717218, 103.7642820",Bukit Panjang ,1.2,0.8,0.8,1,—,—,—,—,—
"Kaki Bukit Industrial Terrace, Singapore",5,16-04-18,"1.3357532, 103.9021851",Chai Chee ,1,0.4,0.4,0.6,—,—,—,—,—
"Goldhill Avenue, Singapore",2,16-04-18,"1.3207212, 103.8329972",Newton ,0.6,0.4,0.4,0.6,26.2,28.5,25.2,4.3,32
"Goldhill Drive, Singapore",1,16-04-18,"1.3209825, 103.8323938",Newton ,0.6,0.4,0.4,0.6,26.2,28.5,25.2,4.3,32
"Tampines Street 42 (Blk 446), Singapore",1,16-04-18,"1.3579473, 103.9509729",Pasir Ris (Central) ,1.8,0.6,1,1.2,—,—,—,—,—
"Tampines Street 42 (Blk 449), Singapore",1,16-04-18,"1.3570683, 103.9510635",Pasir Ris (Central) ,1.8,0.6,1,1.2,—,—,—,—,—
"Tampines Street 43 (Blk 434), Singapore",1,16-04-18,"1.3592614, 103.9516074",Pasir Ris (Central) ,1.8,0.6,1,1.2,—,—,—,—,—
"Choa Chu Kang Street 51 (Blk 504), Singapore",1,16-04-18,"1.3891451, 103.7426289",Choa Chu Kang (South) ,0.8,0.2,0.2,0.4,26,29,24.8,4,29.2
"Choa Chu Kang Street 51 (Blk 513), Singapore",1,16-04-18,"1.3897874, 103.7425158",Choa Chu Kang (South) ,0.8,0.2,0.2,0.4,26,29,24.8,4,29.2
"Mergui Road (Mergui Mansions), Singapore",2,16-04-18,"1.3173131, 103.8517873",Whampoa ,1,0.4,0.6,0.6,—,—,—,—,—
"Woodlands Avenue 4 (Blk 610), Singapore",1,16-04-18,"1.4353872, 103.7963374",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Woodlands Drive 50 (Blk 899B), Singapore",1,16-04-18,"1.4361452, 103.7954093",Admiralty ,2.6,1.4,1.4,2,26,30.1,24.9,6.5,30.6
"Yishun Street 22 (Blk 269A), Singapore",1,16-04-18,"1.4368285, 103.8409733",Yishun ,13.2,6,6.2,11.4,—,—,—,—,—
"Woodlands Avenue 6 (Blk 724), Singapore",1,20-04-18,"1.4444802, 103.7986441",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Woodlands Circle (Blk 726), Singapore",2,20-04-18,"1.4441204, 103.7995747",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Woodlands Circle (Blk 728), Singapore",1,20-04-18,"1.4429412, 103.7989657",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Woodlands Circle (Blk 729), Singapore",1,20-04-18,"1.4425116, 103.7985786",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Woodlands Circle (Blk 730), Singapore",2,20-04-18,"1.4425118, 103.7978422",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Woodlands Circle (Blk 733), Singapore",10,20-04-18,"1.4436850, 103.7987597",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Woodlands Circle (Blk 734), Singapore",2,20-04-18,"1.4439831, 103.7980353",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Woodlands Circle (Blk 735), Singapore",3,20-04-18,"1.4434015, 103.7971298",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Woodlands Circle (Blk 738), Singapore",7,20-04-18,"1.4442067, 103.7974920",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Woodlands Circle (Blk 739), Singapore",2,20-04-18,"1.4440644, 103.7967676",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Woodlands Drive 70 (Blk 714), Singapore",1,20-04-18,"1.4420886, 103.7987371",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Chun Tin Road, Singapore",4,20-04-18,"1.3419378, 103.7738584",Clementi ,34.2,18.8,23.2,26.4,26.9,33.5,22.7,5,35.3
"Jalan Jurong Kechil, Singapore",1,20-04-18,"1.3429015, 103.7704492",Clementi ,34.2,18.8,23.2,26.4,26.9,33.5,22.7,5,35.3
"Lorong Pisang Asam, Singapore",6,20-04-18,"1.3436314, 103.7727481",Bukit Panjang ,22.4,13.8,20.8,22.2,—,—,—,—,—
"Lorong Pisang Emas, Singapore",14,20-04-18,"1.3439384, 103.7715726",Bukit Panjang ,22.4,13.8,20.8,22.2,—,—,—,—,—
"Lorong Pisang Hijau, Singapore",2,20-04-18,"1.3442145, 103.7727925",Bukit Panjang ,22.4,13.8,20.8,22.2,—,—,—,—,—
"Lorong Pisang Raja, Singapore",3,20-04-18,"1.3430639, 103.7727867",Clementi ,34.2,18.8,23.2,26.4,26.9,33.5,22.7,5,35.3
"Lorong Pisang Udang, Singapore",2,20-04-18,"1.3433911, 103.7720538",Bukit Panjang ,22.4,13.8,20.8,22.2,—,—,—,—,—
"Yuk Tong Avenue, Singapore",1,20-04-18,"1.3447663, 103.7728106",Bukit Panjang ,22.4,13.8,20.8,22.2,—,—,—,—,—
"Eastwood Drive, Singapore",18,20-04-18,"1.3233243, 103.9557363",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Green, Singapore",4,20-04-18,"1.3222849, 103.9548450",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Terrace, Singapore",1,20-04-18,"1.3218063, 103.9569024",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Way, Singapore",1,20-04-18,"1.3229592, 103.9573462",Simei ,0,0,0,0,—,—,—,—,—
"Jalan Greja, Singapore",3,20-04-18,"1.3237034, 103.9550755",Simei ,0,0,0,0,—,—,—,—,—
"Pesari Walk, Singapore",1,20-04-18,"1.3245905, 103.9542040",Simei ,0,0,0,0,—,—,—,—,—
"Taman Bedok, Singapore",1,20-04-18,"1.3247113, 103.9541043",Simei ,0,0,0,0,—,—,—,—,—
"Cheng Soon Crescent, Singapore",1,20-04-18,"1.3363084, 103.7725246",Clementi ,34.2,18.8,23.2,26.4,26.9,33.5,22.7,5,35.3
"Eng Kong Terrace, Singapore",6,20-04-18,"1.3365850, 103.7695001",Clementi ,34.2,18.8,23.2,26.4,26.9,33.5,22.7,5,35.3
"Lorong Kismis (Kismis View), Singapore",1,20-04-18,"1.3390044, 103.7717721",Clementi ,34.2,18.8,23.2,26.4,26.9,33.5,22.7,5,35.3
"Toh Yi Drive, Singapore",3,20-04-18,"1.3380803, 103.7716335",Clementi ,34.2,18.8,23.2,26.4,26.9,33.5,22.7,5,35.3
"Toh Yi Road, Singapore",8,20-04-18,"1.3376793, 103.7710754",Clementi ,34.2,18.8,23.2,26.4,26.9,33.5,22.7,5,35.3
"Bedok Reservoir Road (Blk 135), Singapore",1,20-04-18,"1.3331404, 103.9122693",Chai Chee ,2.4,2.4,2.4,2.4,—,—,—,—,—
"Bedok Reservoir Road (Blk 136), Singapore",3,20-04-18,"1.3335538, 103.9135607",Chai Chee ,2.4,2.4,2.4,2.4,—,—,—,—,—
"Bedok Reservoir Road (Blk 137), Singapore",1,20-04-18,"1.3337227, 103.9128130",Chai Chee ,2.4,2.4,2.4,2.4,—,—,—,—,—
"Bedok Reservoir Road (Blk 142), Singapore",1,20-04-18,"1.3357141, 103.9132888",Chai Chee ,2.4,2.4,2.4,2.4,—,—,—,—,—
"Bedok Reservoir Road (Blk 145), Singapore",1,20-04-18,"1.3343129, 103.9119974",Chai Chee ,2.4,2.4,2.4,2.4,—,—,—,—,—
"Gangsa Road (Blk 153), Singapore",1,20-04-18,"1.3750816, 103.7653500",Bukit Panjang ,22.4,13.8,20.8,22.2,—,—,—,—,—
"Gangsa Road (Blk 154), Singapore",2,20-04-18,"1.3748817, 103.7650558",Bukit Panjang ,22.4,13.8,20.8,22.2,—,—,—,—,—
"Hazel Park Terrace (Hazel Pk Condo), Singapore",2,20-04-18,"1.3717218, 103.7642820",Bukit Panjang ,22.4,13.8,20.8,22.2,—,—,—,—,—
"Kaki Bukit Industrial Terrace, Singapore",5,20-04-18,"1.3357532, 103.9021851",Chai Chee ,2.4,2.4,2.4,2.4,—,—,—,—,—
"Goldhill Avenue, Singapore",2,20-04-18,"1.3207212, 103.8329972",Newton ,13.6,5,9.2,12.4,27.1,33,23.8,5,41.4
"Goldhill Drive, Singapore",1,20-04-18,"1.3209825, 103.8323938",Newton ,13.6,5,9.2,12.4,27.1,33,23.8,5,41.4
"Tampines Street 42 (Blk 446), Singapore",1,20-04-18,"1.3579473, 103.9509729",Pasir Ris (Central) ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Tampines Street 42 (Blk 449), Singapore",1,20-04-18,"1.3570683, 103.9510635",Pasir Ris (Central) ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Tampines Street 43 (Blk 434), Singapore",1,20-04-18,"1.3592614, 103.9516074",Pasir Ris (Central) ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Cashew Road (Blk 130), Singapore",1,20-04-18,"1.3740942, 103.7712346",Bukit Panjang ,22.4,13.8,20.8,22.2,—,—,—,—,—
"Cashew Road (Blk 133), Singapore",1,20-04-18,"1.3743215, 103.7699671",Bukit Panjang ,22.4,13.8,20.8,22.2,—,—,—,—,—
"Kaki Bukit Avenue 1, Singapore",2,20-04-18,"1.3347731, 103.9077134",Chai Chee ,2.4,2.4,2.4,2.4,—,—,—,—,—
"Mergui Road (Mergui Mansions), Singapore",2,20-04-18,"1.3173131, 103.8517873",Whampoa ,32.2,20.2,30.2,32.2,—,—,—,—,—
"Woodlands Drive 50 (Blk 899B), Singapore",1,20-04-18,"1.4361452, 103.7954093",Admiralty ,27.6,24.6,27.2,27.6,27.1,32.1,24,8.6,33.5
"Yishun Industrial Street 1, Singapore",1,20-04-18,"1.4372807, 103.8432107",Yishun ,47,24.2,41.8,45.6,—,—,—,—,—
"Yishun Street 22 (Blk 269A), Singapore",1,20-04-18,"1.4368285, 103.8409733",Yishun ,47,24.2,41.8,45.6,—,—,—,—,—
"Chun Tin Road, Singapore",4,23-04-18,"1.3419378, 103.7738584",Clementi ,41,25.6,34.8,40.6,26.9,34,23.3,3.6,33.5
"Jalan Jurong Kechil, Singapore",1,23-04-18,"1.3429015, 103.7704492",Clementi ,41,25.6,34.8,40.6,26.9,34,23.3,3.6,33.5
"Lorong Pisang Asam, Singapore",6,23-04-18,"1.3436314, 103.7727481",Bukit Panjang ,13.6,6.6,9.8,13,—,—,—,—,—
"Lorong Pisang Emas, Singapore",16,23-04-18,"1.3439384, 103.7715726",Bukit Panjang ,13.6,6.6,9.8,13,—,—,—,—,—
"Lorong Pisang Hijau, Singapore",2,23-04-18,"1.3442145, 103.7727925",Bukit Panjang ,13.6,6.6,9.8,13,—,—,—,—,—
"Lorong Pisang Raja, Singapore",3,23-04-18,"1.3430639, 103.7727867",Clementi ,41,25.6,34.8,40.6,26.9,34,23.3,3.6,33.5
"Lorong Pisang Udang, Singapore",2,23-04-18,"1.3433911, 103.7720538",Bukit Panjang ,13.6,6.6,9.8,13,—,—,—,—,—
"Yuk Tong Avenue, Singapore",1,23-04-18,"1.3447663, 103.7728106",Bukit Panjang ,13.6,6.6,9.8,13,—,—,—,—,—
"Eastwood Drive, Singapore",19,23-04-18,"1.3233243, 103.9557363",Simei ,26,24.6,26,26,—,—,—,—,—
"Eastwood Place, Singapore",1,23-04-18,"1.3221148, 103.9562737",Simei ,26,24.6,26,26,—,—,—,—,—
"Eastwood Terrace, Singapore",1,23-04-18,"1.3218063, 103.9569024",Simei ,26,24.6,26,26,—,—,—,—,—
"Eastwood Way, Singapore",2,23-04-18,"1.3229592, 103.9573462",Simei ,26,24.6,26,26,—,—,—,—,—
"Jalan Greja, Singapore",3,23-04-18,"1.3237034, 103.9550755",Simei ,26,24.6,26,26,—,—,—,—,—
"Pesari Walk, Singapore",1,23-04-18,"1.3245905, 103.9542040",Simei ,26,24.6,26,26,—,—,—,—,—
"Taman Bedok, Singapore",1,23-04-18,"1.3247113, 103.9541043",Simei ,26,24.6,26,26,—,—,—,—,—
"Bedok Reservoir Road (Blk 132), Singapore",1,23-04-18,"1.3329230, 103.9119068",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Bedok Reservoir Road (Blk 135), Singapore",2,23-04-18,"1.3331404, 103.9122693",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Bedok Reservoir Road (Blk 136), Singapore",4,23-04-18,"1.3335538, 103.9135607",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Bedok Reservoir Road (Blk 137), Singapore",1,23-04-18,"1.3337227, 103.9128130",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Bedok Reservoir Road (Blk 138), Singapore",1,23-04-18,"1.3345261, 103.9130849",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Bedok Reservoir Road (Blk 139), Singapore",8,23-04-18,"1.3345066, 103.9137344",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Bedok Reservoir Road (Blk 145), Singapore",1,23-04-18,"1.3343129, 103.9119974",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Kaki Bukit Industrial Terrace, Singapore",9,23-04-18,"1.3357532, 103.9021851",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Gangsa Road (Blk 153), Singapore",1,23-04-18,"1.3750816, 103.7653500",Bukit Panjang ,13.6,6.6,9.8,13,—,—,—,—,—
"Gangsa Road (Blk 154), Singapore",2,23-04-18,"1.3748817, 103.7650558",Bukit Panjang ,13.6,6.6,9.8,13,—,—,—,—,—
"Hazel Park Terrace (Hazel Pk Condo), Singapore",2,23-04-18,"1.3717218, 103.7642820",Bukit Panjang ,13.6,6.6,9.8,13,—,—,—,—,—
"Senoko Crescent, Singapore",1,23-04-18,"1.4625659, 103.8063107",Admiralty ,1,0.6,0.8,1,26.9,32.9,24.3,6.1,36
"Senoko Road, Singapore",3,23-04-18,"1.4636605, 103.8029023",Admiralty ,1,0.6,0.8,1,26.9,32.9,24.3,6.1,36
"Pandan Gardens (Blk 411), Singapore",3,23-04-18,"1.3189330, 103.7467021",Jurong (North) ,9,7.2,8.6,9,—,—,—,—,—
"Pandan Gardens (Blk 414), Singapore",1,23-04-18,"1.3201012, 103.7472453",Jurong (North) ,9,7.2,8.6,9,—,—,—,—,—
"Woodlands Drive 60 (Blk 786B), Singapore",1,23-04-18,"1.4455999, 103.8007292",Admiralty ,1,0.6,0.8,1,26.9,32.9,24.3,6.1,36
"Woodlands Drive 60 (Blk 786E), Singapore",1,23-04-18,"1.4471062, 103.8005028",Admiralty ,1,0.6,0.8,1,26.9,32.9,24.3,6.1,36
"Woodlands Drive 60 (Blk 786F), Singapore",2,23-04-18,"1.4463735, 103.8002765",Admiralty ,1,0.6,0.8,1,26.9,32.9,24.3,6.1,36
"Yishun Avenue 6 (Lilydale), Singapore",1,23-04-18,"1.4241682, 103.8491465",Yishun ,6.2,4.6,5.2,5.8,—,—,—,—,—
"Yishun Avenue 11 (Blk 418), Singapore",1,23-04-18,"1.4251116, 103.8475762",Yishun ,6.2,4.6,5.2,5.8,—,—,—,—,—
"Yishun Street 42, Singapore",2,23-04-18,"1.4280774, 103.8515441",Yishun ,6.2,4.6,5.2,5.8,—,—,—,—,—
"Aljunied Crescent (Blk 106), Singapore",1,23-04-18,"1.3191130, 103.8829083",Marine Parade ,1.6,1.4,1.4,1.4,—,—,—,—,—
"Aljunied Crescent (Blk 110), Singapore",1,23-04-18,"1.3199444, 103.8844051",Marine Parade ,1.6,1.4,1.4,1.4,—,—,—,—,—
"Aljunied Crescent (Blk 112), Singapore",1,23-04-18,"1.3203815, 103.8851348",Marine Parade ,1.6,1.4,1.4,1.4,—,—,—,—,—
"Hougang Avenue 5 (Blk 320), Singapore",1,23-04-18,"1.3663790, 103.8981550",Buangkok ,11.8,8.6,10.8,11.2,—,—,—,—,—
"Hougang Avenue 5 (Blk 324), Singapore",1,23-04-18,"1.3675124, 103.8974855",Buangkok ,11.8,8.6,10.8,11.2,—,—,—,—,—
"Jalan Tenaga (Blk 651), Singapore",1,23-04-18,"1.3322173, 103.9073754",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Jalan Tenaga (Blk 652), Singapore",1,23-04-18,"1.3326533, 103.9079192",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Jalan Tenaga (Blk 654), Singapore",1,23-04-18,"1.3328801, 103.9066505",Chai Chee ,38.6,34.6,38.4,38.4,—,—,—,—,—
"Tampines Street 42 (Blk 446), Singapore",1,23-04-18,"1.3579473, 103.9509729",Pasir Ris (Central) ,26.2,23.4,25.6,25.6,—,—,—,—,—
"Tampines Street 42 (Blk 449), Singapore",1,23-04-18,"1.3570683, 103.9510635",Pasir Ris (Central) ,26.2,23.4,25.6,25.6,—,—,—,—,—
