Cantonment Close (Blk 18),"1.2738709, 103.8394238"
Clementi West Street 2 (Blk 716),"1.3023030, 103.7628152"
Hougang Avenue 3 (Blk 249),"1.3596597, 103.8917267"
Ang Mo Kio Avenue 10 (Blk 467),"1.3654591, 103.8566350"
ommonwealth Crescent (Blk 97),"1.3061845, 103.8014763"
Bedok eservoir Road (Blk 103),"1.3287662, 103.9094598"
Hougang Avenue 8 (Blk 675),"1.3719617, 103.8843587"
Lorong 7 Geylang,"1.3125935, 103.8758157"
na Avenue,"1.2837366, 103.8591923"
Kelantan Lane,"1.3068019, 103.8569815"
Pasir Ris Drive 6 (Blk 405),"1.3738094, 103.9555963"
Bendemeer Road (Blk 38B),"1.3204988, 103.8668888"
Pasir Ris Street 41 (Blk 466),"1.3734628, 103.9584520"
Jurong West Street 65 (Blk 617),"1.3408525, 103.7004784"
Woodlands Street 83 (Blk 854),"1.4398617, 103.7930491"
Wellington Circle (Blk 508C),"1.4529240, 103.8211890"
Choa Chu ang Avenue 4 (Blk 307),"1.3853509, 103.7425610"
ampong Arang Road (Blk 12),"1.3008228, 103.8837244"
orth Avenue 3 lk 505),"1.3318480, 103.9333872"
Yung Sheng Road (Blk 181),"1.3338632, 103.7219932"
Pasir Ris Street 13 (Blk 150),"1.3629455, 103.9631436"
Yishun Street 11 (Blk 132),"1.4328560, 103.8312980"
Teck Whye Lane (Blk 108),"1.3783065, 103.7529480"
Potong Pasir Avenue 1 (Blk 101),"1.3329594, 103.8685022"
Hougang Avenue 5 (Blk 308),"1.3669122, 103.8959572"
Tampines Street 41 (Blk 418),"1.3583149, 103.9475961"
oa Payoh East (Blk 27),"1.3323619, 103.8567256"
Ang Mo Kio Avenue 10 (Blk 473),"1.3631140, 103.8568162"
Ang Mo Kio Avenue 10 (Blk 421),"1.3653349, 103.8528303"
hoa Chu Kang Avenue 2 (Blk 297),"1.3770950, 103.7417450"
ari Walk,"1.2960479, 103.7724285"
Pasir Ris Street 52 (Blk 503),"1.3757191, 103.9454658"
Marine Vista (Neptune Court),"1.3062221, 103.9218996"
Fernvale Lane (Blk 440C),"1.3912021, 103.8755853"
nds Drive 14 lk 504),"1.4316858, 103.7915305"
Woodlands Drive 60 (Blk 786E),"1.4471062, 103.8005028"
Cassia Crescent (Blk 30),"1.3095280, 103.8833620"
g Avenue 9 lk 675),"1.4482327, 103.7986104"
Tanjong Rhu Road,"1.2972795, 103.8764170"
Jalan Tenteram (Blk 18),"1.3279514, 103.8600775"
Jalan Hock Chye,"1.3590535, 103.8903717"
Toa Payoh North (Blk 209),"1.3417584, 103.8447361"
Tampines Street 22 (Blk 285),"1.3501387, 103.9531032"
Woodlands Circle (Blk 727),"1.4436794, 103.7996652"
Hougang Avenue 1 (Blk 173),"1.3502585, 103.8887080"
Circuit Road (Blk 35),"1.3291935, 103.8859897"
g K Telok urau DA @ 130),"1.3130423, 103.9116196"
Choa Chu Kang Avenue 4 (Blk 428),"1.3812419, 103.7400040"
Tampines Street 83 (Blk 839),"1.3511809, 103.9344976"
Jurong West Street 64 (Blk 669B),"1.3429087, 103.7028085"
hoa Chu Kang Avenue 4 (Blk 438),"1.3841610, 103.7397020"
ds Avenue 6 lk 678),"1.4398050, 103.8015880"
Norma Terrace,"1.3210752, 103.9258213"
Hougang Avenue 8 (Blk 506),"1.3728214, 103.8876207"
Bukit Batok Street 11 (Blk 164),"1.3477409, 103.7428129"
Rivervale Crescent (Blk 185C),"1.3931823, 103.9063596"
hoa Chu Kang Avenue 4 (Blk 428),"1.3812419, 103.7400040"
Carmen Street,"1.3175923, 103.9263451"
Lorong 25A Geylang,"1.3151740, 103.8830873"
lands Ring Road lk 607),The address probably not exists
Phoenix Road (Hillsta),"1.3762390, 103.7564010"
Lorong 3 Geylang (Blk 111),"1.3119573, 103.8738476"
asir Ris Street 71 (Blk 749),"1.3784770, 103.9343843"
Butterfly Avenue,"1.3339342, 103.8767922"
Tagore Lane,"1.3854686, 103.8284963"
New Upper Changi Road (Blk 28),"1.3237400, 103.9349004"
Woodlands Drive 73 (Blk 682D),"1.4408619, 103.8048536"
Potong Pasir Avenue 1 (Blk 113),"1.3362015, 103.8634360"
Rivervale Crescent (Blk 180C),"1.3895416, 103.9096411"
Punggol Drive (Blk 679C),"1.4064229, 103.9087575"
Woodlands Street 82 (Blk 817),"1.4418985, 103.7908819"
orong K Telok Kurau (Sunnyvale Residences),"1.3137212, 103.9150885"
Fernvale Link (Blk 414A),"1.3902473, 103.8799924"
Hertford Road,"1.3131994, 103.8484825"
Sembawang Close (Blk 321),"1.4460028, 103.8186148"
Bedok South Avenue 2 (Blk 35),"1.3223734, 103.9398229"
Woodlands Avenue 6 (Blk 793),"1.4422651, 103.8028346"
Rivervale Link (Park Green),"1.3806816, 103.8999669"
Bideford Road (Richmond Park),"1.3048399, 103.8364908"
ougang Street 22 (Blk 239),"1.3560334, 103.8903391"
Limau Garden,"1.3222048, 103.9497438"
Lorong 42 Geylang (Aston Mansion),"1.3138677, 103.8904767"
Jurong East Street 24 (Blk 249),"1.3425344, 103.7393453"
Teck Whye Lane (Blk 144),"1.3808011, 103.7525859"
Rowell Road (Blk 641),"1.3083007, 103.8550777"
Lorong 35 Geylang,"1.3153115, 103.8884972"
Pasir Ris Street 52 (Blk 510),"1.3757795, 103.9445366"
alan Tua Kong,"1.3155361, 103.9257955"
Chun Tin Road,"1.3419378, 103.7738584"
lands Rise k 784A),The address probably not exists
ast Street 24 lk 261),"1.3445315, 103.7404587"
g J Telok urau,"1.3140655, 103.9109188"
Jurong West Central 1 (Blk 691),"1.3418629, 103.7063375"
Yishun Street 81 (Blk 866),"1.4145933, 103.8372726"
Simei Street 5 (Blk 247),"1.3440239, 103.9536925"
Ang Mo Kio Avenue 10 (Blk 469),"1.3645536, 103.8570853"
Lorong K Telok Kurau (The Cristallo),"1.3129371, 103.9115603"
Veerasamy Road (Blk 635),"1.3067255, 103.8552195"
Woodlands Circle (Blk 732),"1.4433208, 103.7983069"
Lengkong Empat (Grosvenor View),"1.3274696, 103.9115829"
Amber Road (The Sea View),"1.3015993, 103.9013088"
Hougang Street 51 (Blk 568),"1.3780886, 103.8888893"
Mangis Road,"1.3138269, 103.9035583"
Florence Road,"1.3656622, 103.8859105"
Wan Tho Avenue,"1.3325458, 103.8717571"
Bedok eservoir Road (Blk 150),"1.3360666, 103.9124505"
Bedok eservoir Road (Blk 107),"1.3298653, 103.9091880"
Lorong 25 Geylang,"1.3144854, 103.8824746"
Westerhout Road,"1.3110379, 103.8807385"
Bukit Batok Street 11 (Blk 157),"1.3483744, 103.7434150"
Marine Terrace (Blk 52),"1.3059044, 103.9163476"
Bishan Street 23 (Blk 213),"1.3571573, 103.8483915"
Woodlands Drive 75 (Blk 690F),"1.4429660, 103.8084730"
Jalan Greja,"1.3237034, 103.9550755"
Rienzi Street,"1.3205852, 103.9260406"
Rowell Road (Blk 639),"1.3077866, 103.8551865"
Pasir Ris Street 21 (Blk 215),"1.3684892, 103.9605145"
Kwong Avenue,"1.3306439, 103.8710724"
Hougang Avenue 8 (Blk 611),"1.3700555, 103.8846305"
Woodlands Crescent (Northoaks),"1.4450383, 103.8056829"
Hougang Avenue 1 (Blk 108),"1.3528142, 103.8898860"
Valley Road,"1.3617550, 103.8882040"
Hougang Avenue 6 (Blk 530),"1.3752792, 103.8900899"
28 Geylang,"1.3121200, 103.8855967"
Jalan Ishak,"1.3250147, 103.9078138"
ougang Street 91 (Blk 970),"1.3784002, 103.8806067"
Choa Chu ang Avenue 2 (Blk 272),"1.3788044, 103.7430815"
Hougang Avenue 5 (Blk 313),"1.3653105, 103.8943261"
hoa Chu Kang Avenue 3 (Blk 411),"1.3810160, 103.7409997"
Bedok Reservoir Road (Blk 644),"1.3309111, 103.9054723"
Woodlands Drive 50 (Blk 896A),"1.4364539, 103.7929645"
Petir Road (MaySprings),"1.3774048, 103.7633104"
Circuit Road (Blk 44),"1.3267040, 103.8862615"
Marine Drive (Blk 62),"1.3026095, 103.9090570"
nds Drive 42 lk 604),"1.4369726, 103.7969314"
Ang Mo Kio Avenue 6 (Blk 640),"1.3800424, 103.8436811"
Carpmael Road,"1.3107036, 103.8999116"
hee Drive lk 58),The address probably not exists
Soo Chow View,"1.3530022, 103.8303861"
Woodlands Drive 14 (Blk 517),"1.4338194, 103.7916968"
Bedok North Road (Blk 181),"1.3266080, 103.9412733"
Jurong East Street 21 (Blk 229),"1.3418470, 103.7379449"
Ring Road lk 354),"1.4258270, 103.8452070"
Jurong West Street 64 (Blk 668D),"1.3411687, 103.7028311"
Jurong West Street 52 (Blk 518),"1.3451730, 103.7180135"
unos Crescent (Blk 24),"1.3238359, 103.9023841"
Pari Dedap Walk (Tanamera Crest),"1.3324389, 103.9422743"
Upper Boon Keng Road (Blk 3B),"1.3143059, 103.8728065"
Jurong West Street 52 (Blk 529),"1.3484434, 103.7161590"
ebar Road a Lebar idences),"1.3175146, 103.8915739"
Rowell Road (Blk 640),"1.3077589, 103.8547424"
Jalan Baiduri,"1.3115093, 103.9126850"
West Street 52 k 517C),"1.3450075, 103.7200927"
Lorong Lew Lian (Blk 3),"1.3504783, 103.8761135"
Upper Boon Keng Road (Blk 18),"1.3150764, 103.8723988"
Teck Whye Lane (Blk 106),"1.3779405, 103.7528575"
Lengkong Tiga (Blk 113),"1.3236305, 103.9119068"
Woodlands Ring Road (Blk 632),"1.4359043, 103.8017706"
Kaki Bukit Avenue 3,"1.3373461, 103.9088085"
Sandilands Road,"1.3626116, 103.8782736"
Tanah Merah Kechil Road (Casa Merah),"1.3291018, 103.9461887"
Bedok Lane,"1.3288153, 103.9479887"
ivervale Walk (Blk 101),"1.3826780, 103.8994650"
orong Ong Lye (Rosalia Park),"1.3495628, 103.8790004"
ishan Street 21 (Bishan 8),"1.3491779, 103.8467621"
Woodlands Ring Road (Blk 668),"1.4389894, 103.7983975"
Sengkang Central (Blk 271C),"1.3850849, 103.8945410"
Lorong Lew Lian (Blk 7),"1.3492329, 103.8770131"
Rivervale Walk (Blk 101),"1.3826780, 103.8994650"
Bedok North Avenue 3 (Blk 401),"1.3309326, 103.9335232"
orong K Telok Kurau (The Amery),"1.3119429, 103.9084259"
Gangsa Road (Blk 153),"1.3750816, 103.7653500"
Toa Payoh North (Blk 207),"1.3424025, 103.8451531"
Bedok North Avenue 3 (Blk 139),"1.3294215, 103.9354720"
Yishun Avenue 11 (Blk 458),"1.4207919, 103.8462175"
Bedok Reservoir Road (Blk 128),"1.3334379, 103.9114536"
ds Street 83 lk 831),"1.4408196, 103.7936850"
Choa Chu Kang Street 64 (Blk 640),"1.3977937, 103.7496440"
Bishan Street 12 (Blk 131),"1.3455718, 103.8510185"
Tampines Street 34 (The Eden at Tampines),"1.3559497, 103.9598667"
Hougang Avenue 1 (Blk 170),"1.3514811, 103.8893650"
Bukit Batok West Avenue 5 (Blk 383),"1.3622966, 103.7521786"
Jalan Batalong,"1.3621684, 103.9681817"
Punggol Drive (Blk 642D),"1.3988534, 103.9158815"
Jurong East Street 21 (Blk 236),"1.3404134, 103.7420858"
Lorong Melayu (Palmera East),"1.3210080, 103.9101733"
Woodlands Drive 40 (Blk 702),"1.4417698, 103.7967153"
Coldstream Avenue,"1.3119252, 103.9193206"
Sengkang East,"1.3905505, 103.8926272"
Wellington Circle (Blk 508B),"1.4527712, 103.8207389"
Carmen Terrace,"1.3186117, 103.9273227"
Lorong 7 Toa Payoh (Blk 1),"1.3393380, 103.8533780"
Bishan Street 22 (Blk 256),"1.3612923, 103.8426847"
Puay Hee Avenue,"1.3316698, 103.8711799"
Reservoir View learwater),"1.3372518, 103.9345989"
Jalan Loyang Besar,"1.3785756, 103.9606109"
Upper Changi Road East (East View Garden),"1.3436381, 103.9618555"
Compassvale Lane (Blk 210C),"1.3842948, 103.8996003"
Hougang Street 32 (Blk 376B),"1.3641284, 103.8934725"
Fernvale Road,"1.3936113, 103.8761300"
Keat Hong Close (Blk 803C),"1.3734800, 103.7440413"
Bedok eservoir View (Blk 764),"1.3359341, 103.9353813"
Pheng Geck Avenue (Sant Ritz),"1.3298610, 103.8689580"
Hougang Avenue 1 (Blk 169),"1.3514675, 103.8898741"
inchang Walk,The address probably not exists
Edgedale Plains (Blk 109D),"1.3955100, 103.9088850"
Hougang Central (Blk 832),"1.3706115, 103.8897048"
Woodlands Crescent (Blk 788B),"1.4438901, 103.8012046"
Anchorvale Lane (Blk 312B),"1.3917250, 103.8854870"
Clementi Avenue 4 (Blk 312B),"1.3197115, 103.7644447"
Delta Avenue (Blk 4),"1.2918537, 103.8266527"
Mount Emily Road (Parc Emily),"1.3043618, 103.8487680"
Hougang Avenue 6 (Blk 531),"1.3758094, 103.8902484"
Tampines Street 21 (Blk 248),"1.3521081, 103.9472639"
Marsiling Rise (Blk 120),"1.4392455, 103.7806504"
Upper Serangoon View (Rio Vista),"1.3732500, 103.9015266"
Foo Kim Lin Road (Tropika East),"1.3288723, 103.9069939"
Jurong West Street 61 (Blk 625),"1.3414107, 103.6989402"
Jalan Limau Nipis,"1.3247578, 103.9479966"
Bishan Street 24 (Blk 272),"1.3565510, 103.8427980"
Edgedale Plains (Blk 121A),"1.3940373, 103.9085682"
intang Tiga,"1.3220920, 103.9253568"
Bishan Street 22 (Blk 250),"1.3616517, 103.8438623"
Choa Chu Kang North 5 (Blk 753),"1.3923459, 103.7469737"
Jalan Tenaga (Blk 654),"1.3328801, 103.9066505"
Paya Lebar Way (Blk 123),"1.3229161, 103.8832714"
lands Ring Road lk 656),"1.4368306, 103.7990900"
Tampines Stret 21 (Blk 238),"1.3557585, 103.9465989"
ougang Street 51 (Blk 558),"1.3804890, 103.8897790"
Sembawang Drive (Blk 413),"1.4517896, 103.8178152"
nds Drive 73 k 682C),"1.4406370, 103.8042490"
hoa Chu Kang Avenue 2 (Blk 251),"1.3783006, 103.7445976"
hoa Chu Kang Avenue 3 (Blk 293),"1.3781611, 103.7402756"
Jurong West Street 93 (Blk 989A),"1.3360032, 103.6945744"
Circuit Road (Blk 50),"1.3249509, 103.8857179"
Choa Chu ang Avenue 3 (Blk 286),"1.3800582, 103.7418143"
Lorong 24 Geylang (Edenz Loft),"1.3123223, 103.8834877"
Lorong 14 Geylang,"1.3112980, 103.8791603"
Tampines Street 32 (Blk 384),"1.3540130, 103.9579130"
Lorong Sarina,"1.3196698, 103.9077417"
Sembawang Way (Blk 355A),"1.4496460, 103.8186020"
u Lane 7,"1.3555020, 103.8971360"
lands Ring Road lk 669),"1.4382950, 103.7983380"
Lew Lian lk 3),"1.3504783, 103.8761135"
ompang Road (Blk 174),"1.3802068, 103.7663458"
Lorong 38 Geylang (The Water Edge),"1.3137914, 103.8887428"
Parry Avenue,"1.3643199, 103.8792644"
Bedok North Street 2 (Blk 114),"1.3305163, 103.9359252"
Choa Chu ang Avenue 4 (Blk 432),"1.3846223, 103.7417917"
Jalan Suka,"1.3122073, 103.8833391"
Marine Drive (Blk 74),"1.3036338, 103.9072622"
asir Ris Grove (D'Nest),"1.3703790, 103.9465634"
Kaki Bt Rd,"1.3343353, 103.9021900"
Bedok North Road (Blk 124),"1.3292548, 103.9390071"
Commonwealth Crescent (Blk 107),"1.3079526, 103.7993030"
Choa Chu Kang Avenue 3 (Mi Casa),"1.3839054, 103.7476890"
Bishan Street 22 (Blk 259),"1.3599765, 103.8422318"
Woodlands Drive 14 (Blk 503),"1.4325723, 103.7916062"
Avenue 1 lk 313),"1.3291458, 103.9038638"
Salam Walk,"1.3218118, 103.9509529"
hoa Chu Kang Avenue 3 (Blk 282),"1.3803429, 103.7432625"
Bedok North Avenue 3 (Blk 154),"1.3297361, 103.9346827"
Kurau Grove,"1.3118907, 103.9150578"
Bedok North Street 4 (Blk 187B),"1.3308838, 103.9398381"
Choa Chu Kang North 7 (Blk 619),"1.4002634, 103.7475168"
Bedok South Road (Blk 161),"1.3199741, 103.9472071"
Minaret Walk,"1.3246282, 103.9522074"
Woodlands Crescent (Blk 788E),"1.4444696, 103.8024724"
Lorong Lew Lian (Blk 4),"1.3501833, 103.8764759"
Woodlands Drive 72 (Blk 795),"1.4429185, 103.8040118"
Tanglin Halt Road (Blk 44),"1.2989770, 103.7984654"
rankel Terrace,"1.3188968, 103.9143763"
Pasir Ris Street 13 (Blk 161),"1.3636670, 103.9618517"
nds Drive 75 k 690F),"1.4427108, 103.8073412"
Bedok South Avenue 1 (Blk 32),"1.3226683, 103.9377675"
Towner Road (Blk 107),"1.3198248, 103.8599865"
Pasir Ris Street 13 (Blk 148),"1.3620739, 103.9619650"
Prome Road,"1.3249562, 103.8492423"
1 Toa Payoh lk 173),"1.3300248, 103.8425052"
Geylang East Avenue 1 (Blk 124),"1.3184293, 103.8868107"
Rivervale Cresent,"1.3915810, 103.9074777"
Woodlands Street 82 (Blk 818),"1.4416821, 103.7900573"
Mount Elizabeth (Elizabeth Tower),"1.3058951, 103.8362533"
Kenanga Ave,"1.3323506, 103.8761256"
Jurong East Street 21 (Blk 203),"1.3370172, 103.7432847"
Compassvale Link (Blk 275B),"1.3832350, 103.8945410"
Lorong 1 Toa Payoh (Blk 113),"1.3412893, 103.8445869"
Sims Drive (Blk 41),"1.3169724, 103.8756402"
Compassvale Road (Blk 254),"1.3941550, 103.8997670"
Ang Mo Kio Avenue 10 (Blk 472),"1.3631798, 103.8580845"
Bedok North Avenue 3 (Blk 505),"1.3318480, 103.9333872"
Tampines Avenue 4 (Blk 902),"1.3512821, 103.9390978"
nds Drive 73 k 682D),"1.4410235, 103.8060957"
Fernvale Link (Blk 413A),"1.3891417, 103.8785598"
Jalan Eunos (Euhabitat),"1.3279129, 103.9065485"
Jalan Pergam,"1.3444372, 103.9615256"
Jervois Road (Jervois Mansions),"1.2949322, 103.8212073"
Rivervale Walk (Blk 103),"1.3830001, 103.9007600"
Lorong 27 Geylang,"1.3149187, 103.8837220"
Teck Whye Lane (Blk 110),"1.3782390, 103.7519523"
ds Avenue 6 lk 725),"1.4387944, 103.8030299"
Eunos Avenue 7,"1.3229904, 103.8981483"
Serangoon Central Drive (Blk 262),"1.3534336, 103.8724201"
Lorong 2 Toa Payoh (Blk 122),"1.3398151, 103.8463080"
hoa Chu Kang Avenue 4 (Blk 431),"1.3839461, 103.7414522"
edok Reservoir Road (Blk 719),"1.3365071, 103.9248671"
Jalan Krian,"1.3241777, 103.9157679"
Hougang Street 32 (Blk 376A),"1.3635188, 103.8935746"
8 Geylang,"1.3104433, 103.8772100"
Flora Road (Azalea Park Condominium),"1.3604378, 103.9627547"
Woodlands Circle (Blk 738),"1.4442067, 103.7974920"
Hougang Street 11 (Blk 155),"1.3526506, 103.8802813"
Pasir Ris Drive 6 (Blk 408),"1.3732354, 103.9536018"
Sims Avenue East,"1.3206198, 103.9123121"
Tampines Street 21 (Blk 260),"1.3546583, 103.9500663"
Soo Chow Way,"1.3530581, 103.8320706"
Upper Bedok Road,"1.3295502, 103.9478841"
g Avenue 8 lk 507),"1.3521553, 103.7395428"
Pending Road (Blk 229),"1.3753386, 103.7715062"
Bedok Reservoir Road (Blk 150),"1.3360666, 103.9124505"
asir Ris Street 11 (Blk 119),"1.3675158, 103.9548710"
Woodlands Crescent (Blk 774),"1.4481063, 103.7990540"
Hougang Street 22 (Blk 239),"1.3560334, 103.8903391"
oa Payoh East (Blk 23),"1.3345557, 103.8570880"
Saujana Road (Blk 412),"1.3830364, 103.7682244"
ho Avenue,"1.3344133, 103.7240854"
Teck Whye Lane (Blk 113),"1.3779522, 103.7508660"
Bedok South Road,"1.3203597, 103.9378409"
Upper Serangoon Crescent (Blk 473C),"1.3759961, 103.9009942"
Ring Road lk 411),"1.4256330, 103.8473147"
Jalan Keruing,"1.3842695, 103.8738796"
oon Lay Place (Blk 211),"1.3476302, 103.7123101"
Choa Chu Kang Central (Blk 211),"1.3820170, 103.7479520"
Aljunied Avenue 2 (Blk 115),"1.3212993, 103.8872887"
Jansen Road,"1.3598716, 103.8769135"
Marine Crescent (Blk 32),"1.3031148, 103.9117708"
ivervale Walk (Blk 105),"1.3821683, 103.9007038"
hoa Chu Kang Avenue 2 (Blk 252),"1.3782785, 103.7452539"
Woodlands Drive 62 (Blk 682A),"1.4402305, 103.8033582"
Pasir Ris Street 21 (Blk 228),"1.3721626, 103.9615797"
West Coast Road (Blk 520),"1.3071500, 103.7596467"
Choa Chu Kang North 6 (Yew Mei Green),"1.3960362, 103.7507710"
Choa Chu Kang Crescent (Blk 660),"1.4010562, 103.7498703"
Choa Chu Kang Avenue 2 (Blk 296A),"1.3774069, 103.7407508"
Bedok Reservoir Road (Blk 629),"1.3345915, 103.9144444"
Woodlands Drive 60 (Blk 772),"1.4472307, 103.7981937"
Chai Chee Road (Blk 20),"1.3264680, 103.9227142"
Jurong West Street 64 (Blk 664D),"1.3388802, 103.7027180"
Bishan Street 24 (Blk 269),"1.3569730, 103.8423224"
Woodlands Circle (Blk 735),"1.4434015, 103.7971298"
lands Ring Road lk 667),"1.4384339, 103.7992854"
Serangoon North Avenue 4 (Blk 524),"1.3727297, 103.8727425"
Siglap Bank,"1.3180259, 103.9206618"
Bedok Reservoir Road (Blk 149),"1.3356275, 103.9124505"
Tampines Street 83 (Blk 863),"1.3554707, 103.9363784"
Woodlands Circle (Blk 729),"1.4425116, 103.7985786"
hoa Chu Kang Avenue 3 (Blk 413),"1.3813730, 103.7426289"
Serangoon North Avenue 4 (Blk 517),"1.3712833, 103.8740324"
u Lane 4,The address probably not exists
g Street 11 lk 158),"1.4325977, 103.8344931"
Sengkang Central (Blk 272B),"1.3848060, 103.8938520"
Choa Chu Kang Avenue 3 (Blk 409),"1.3811320, 103.7418680"
nds Crescent k 788D),"1.4440519, 103.8022910"
Bedok Reservoir Road (Blk 141),"1.3355470, 103.9137193"
hoa Chu Kang Avenue 4 (Blk 414),"1.3821816, 103.7422669"
Woodlands Rise (Blk 785A),"1.4465654, 103.8048495"
Holland Avenue (Blk 9),"1.3077040, 103.7947075"
Tampines Street 23 (Blk 210),"1.3540482, 103.9542364"
Clementi Avenue 4 (Blk 308),"1.3210521, 103.7668438"
Woodlands Circle (Blk 741),"1.4443636, 103.7958620"
Woodlands Crescent,"1.4468524, 103.8024146"
Kurau Terrace,"1.3119979, 103.9155907"
Delta Avenue (Blk 2),"1.2917730, 103.8280113"
Bedok South Avenue 2 (Blk 6),"1.3221825, 103.9348375"
ougang Street 31 (Blk 370),"1.3637462, 103.8894556"
Buffalo Road,"1.3067919, 103.8506588"
Ang Mo Kio Avenue 6 (Blk 729),"1.3738738, 103.8459457"
nds Drive 62 k 682A),"1.4394069, 103.8052876"
Siglap Avenue South,"1.3165914, 103.9197579"
Balestier Road,"1.3214951, 103.8528591"
Ang Mo Kio Avenue 10 (Blk 437),"1.3672748, 103.8530567"
Pasir Ris Drive 6 (Blk 476A),"1.3750832, 103.9577406"
Commonwealth Crescent (Blk 99),"1.3073445, 103.8009431"
Reservoir Road lk 701),"1.3376405, 103.9187040"
Jalan Kelabu Asap,"1.3106587, 103.7977679"
Tampines Street 22 (Blk 272),"1.3490946, 103.9501570"
27 Geylang Alcove),"1.3146203, 103.8839036"
Choa Chu Kang Avenue 4 (Blk 425),"1.3811902, 103.7394383"
Jurong West Street 61 (Blk 642),"1.3404572, 103.6959316"
Almond Avenue,"1.3716332, 103.7733887"
Bedok Reservoir Road (Blk 148),"1.3353932, 103.9118388"
Kenanga Avenue,"1.3323506, 103.8761256"
Ang Mo Kio Avenue 4 (Blk 110),"1.3705542, 103.8373405"
Hougang Avenue 8 (Blk 672),"1.3724034, 103.8839963"
Siglap Drive,"1.3165322, 103.9204910"
hee Road lk 1),The address probably not exists
Choa Chu Kang Avenue 4 (Blk 414),"1.3821816, 103.7422669"
g Avenue 3 lk 17),"1.3634853, 103.8910588"
Hougang Avenue 10 (Blk 409),"1.3738024, 103.8951417"
Bedok South Rd,"1.3203597, 103.9378409"
Bishan Street 12 (Blk 123),"1.3465292, 103.8504832"
Pasir Ris Street 72 (Blk 721),"1.3814040, 103.9362970"
Lorong N Telok Kurau,"1.3098618, 103.9119077"
g Street 91 lk 910),"1.3418091, 103.6898549"
Hougang Avenue 6 (Blk 526),"1.3743822, 103.8900219"
hanghai Road (Studio 3),"1.2957979, 103.8275584"
Buangkok Cresent (Blk 979A),"1.3796091, 103.8788290"
u Lane 3,"1.3582965, 103.9013425"
Simei Street 1 (Blk 117),"1.3446047, 103.9513563"
Ang Mo Kio Avenue 3 (Blk 327),"1.3670544, 103.8469421"
Bedok South Road (Blk 42),"1.3214934, 103.9407278"
Gangsa Road (Blk 102),"1.3792448, 103.7678849"
Woodlands Avenue 6 (Blk 679),"1.4402882, 103.8020196"
Lorong 8 Toa Payoh (Blk 212),"1.3406524, 103.8542845"
Bedok North Street 1 (Blk 419),"1.3269030, 103.9281301"
Ghim Moh Link (Blk 30),"1.3087388, 103.7837420"
Punggol Drive (Blk 663A),"1.4004133, 103.9176164"
ok Road,"1.3015093, 103.8489426"
Woodlands Street 83 (Blk 834),"1.4400422, 103.7911193"
n Rimau,"1.3291477, 103.9072345"
hoa Chu Kang Avenue 3 (Blk 408),"1.3804311, 103.7407281"
Poh Huat Road West (Nouvelle Park),"1.3673887, 103.8775274"
Bedok North Road (Blk 74),"1.3274812, 103.9420891"
oon Central lk 202),The address probably not exists
Bedok Reservoir Road (Blk 108),"1.3302301, 103.9093692"
Veerasamy Road (Blk 633),"1.3058366, 103.8549056"
Chai Chee Avenue (Blk 32),"1.3237706, 103.9249492"
Jalan Damai (Blk 671),"1.3324280, 103.9089161"
Eunos Avenue 8A,"1.3239389, 103.8974611"
g L Telok urau nney Park),"1.3121296, 103.9118641"
Lorong 100 Changi,"1.3509403, 103.8619504"
Lorong Lew Lian (Blk 8),"1.3488663, 103.8767425"
Pasir Ris Street 52 (Blk 502),"1.3754779, 103.9459870"
Lorong J Telok Kurau,"1.3140655, 103.9109188"
Jalan Mutiara Mutiara Crest),"1.2958404, 103.8292618"
Lengkong Tiga (Blk 102),"1.3256132, 103.9106380"
Boon Lay Drive (Blk 199),"1.3438553, 103.7146421"
ivervale Drive (Blk 186D),"1.3932008, 103.9057568"
Lorong Ah Soo (Blk 130),"1.3512962, 103.8865333"
Lorong 28 Geylang,"1.3121200, 103.8855967"
Choa Chu Kang Avenue 2 (Blk 276),"1.3796044, 103.7441677"
Lorong 3 Toa Payoh (Blk 96),"1.3386400, 103.8483004"
Dix Road,"1.3605370, 103.8762414"
aman Permata,"1.3512836, 103.8339997"
g Avenue 8 lk 506),"1.3705115, 103.8488158"
Pasir Ris Drive 6 (Blk 468),"1.3739096, 103.9567346"
Petir Road (Blk 219),"1.3742328, 103.7725926"
Jalan Chelagi,"1.3614428, 103.9652072"
Geylang Bahru (Blk 53),"1.3244029, 103.8680823"
nds Drive 14 lk 518),"1.4316858, 103.7915305"
nds Drive 72 lk 797),"1.4434388, 103.8044632"
Serangoon orth Avenue 4 (Blk 521),"1.3734462, 103.8733325"
Surin Road,"1.3556189, 103.8801872"
Pasir Ris Drive 6 (Blk 469),"1.3735613, 103.9574548"
Pasir Ris Street 12 (Blk 188),"1.3654582, 103.9591999"
Anchorvale Link (Blk 304B),"1.3885760, 103.8892560"
Bedok eservoir Road (Blk 720),"1.3359217, 103.9248671"
hoa Chu Kang Street 51 (Blk 530),"1.3926881, 103.7418369"
Bedok Reservoir Road (Blk 127),"1.3328670, 103.9111830"
Lorong Tanggam (Blk 93),"1.3959553, 103.8739063"
Woodlands Drive 62 (Blk 683B),"1.4409450, 103.8026535"
Lorong Pisang Emas,"1.3439384, 103.7715726"
Aroozoo Avenue,"1.3553669, 103.8853119"
lang East enue 2 msville),"1.3169451, 103.8887681"
Ang Mo Kio Avenue 3 (Blk 119),"1.3696464, 103.8449287"
