Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
cases occur within 14 days and the homes of the dengue,,,,
"cluster boundary, please click on the cluster locality.",,,,
r. Each alert level is associated with a list of preventive actions,,,,
There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
Yellow,,,,
ext Green,,,,
Breakdown,,,,
Location No. of Dengue Cases,,,,
OK NORTH ROAD (BLK 705),,3,,
OK NORTH ROAD (BLK 706),,13,,
OK NORTH ROAD (BLK 707),,2,,
OK NORTH ROAD (BLK 708),,5,,
RESERVOIR ROAD (BLK 701),,12,,
RESERVOIR ROAD (BLK 702),,7,,
RESERVOIR ROAD (BLK 703),,18,,
RESERVOIR ROAD (BLK 704),,9,,
RESERVOIR ROAD (BLK 705),,5,,
RESERVOIR ROAD (BLK 709),,2,,
RESERVOIR ROAD (BLK 711),,4,,
RESERVOIR ROAD (BLK 712),,1,,
RESERVOIR ROAD (BLK 713),,3,,
RESERVOIR ROAD (BLK 714),,2,,
RESERVOIR ROAD (BLK 715),,2,,
RESERVOIR ROAD (BLK 716),,1,,
RESERVOIR ROAD (BLK 717),,2,,
RESERVOIR ROAD (BLK 718),,3,,
RESERVOIR ROAD (BLK 719),,3,,
RESERVOIR ROAD (BLK 720),,1,,
"",,,,1/
RESERVOIR ROAD (BLK 721),2
RESERVOIR ROAD (BLK 740),5
EDOK RESERVOIR ROAD,40
OK RESERVOIR CRESCENT,2
Location,No. of Dengue Cases
PINES STREET 71 (BLK 709),1
PINES STREET 71 (BLK 710),3
PINES STREET 71 (BLK 712),4
PINES STREET 71 (BLK 713),4
PINES STREET 71 (BLK 714),3
PINES STREET 71 (BLK 715),8
PINES STREET 71 (BLK 716),4
PINES STREET 71 (BLK 726),1
PINES STREET 71 (BLK 728),1
PINES STREET 71 (BLK 730),6
PINES STREET 71 (BLK 731),2
PINES STREET 71 (BLK 733),3
PINES STREET 71 (BLK 734),6
PINES STREET 72 (BLK 717),4
PINES STREET 72 (BLK 718),5
PINES STREET 72 (BLK 719),2
PINES STREET 72 (BLK 720),6
PINES STREET 72 (BLK 722),4
PINES STREET 72 (BLK 723),2
PINES STREET 72 (BLK 735),8
PINES STREET 72 (BLK 736),9
PINES STREET 72 (BLK 737),6
PINES STREET 72 (BLK 738),1
PINES STREET 72 (BLK 740),1
PINES STREET 72 (BLK 741),1
TAMPINES STREET 73,8
Location,No. of Dengue Cases
ORCHARD ROAD,70
Location,No. of Dengue Cases
JALAN BELIBAS,3
JALAN CHEGAR,3
JALAN CHEMPAH,1
JALAN HARI RAYA,2
JALAN KELI,3
JALAN KHAMIS,1
JALAN IKAN MERAH,11
JALAN ISNIN,4
JALAN MINGGU,3
JALAN PINTAU,3
JALAN SEMBILANG,1
JALAN TERUBOK,4
HUNFU ROAD (BLK 317),1
SIN MING ROAD (BLK 23),2
SIN MING ROAD (BLK 24),2
SIN MING ROAD (BLK 25),4
Location,No. of Dengue Cases
FLOWER ROAD,6
HIGHLAND CLOSE,1
KOVAN ROAD,9
LOWLAND ROAD,3
PALM GROVE AVENUE,3
PHILLIPS AVENUE,2
RICHARDS AVENUE,5
RICHARDS PLACE,6
TEOW HOCK AVENUE,1
PER SERANGOON ROAD,2
Location,No. of Dengue Cases
BALMORAL CRESCENT,11
BALMORAL ROAD,1
BUKIT TIMAH ROAD,1
"",
t Agency,,
Location,No. of Dengue Cases,
DUBLIN ROAD,3,
EBER ROAD,2,
LLOYD ROAD,1,
OXLEY RISE,4,
PENANG ROAD,1,
Location,No. of Dengue Cases,
ONG 7 TOA PAYOH (BLK 1),1,
ONG 7 TOA PAYOH (BLK 2),1,
ONG 7 TOA PAYOH (BLK 4),1,
ONG 7 TOA PAYOH (BLK 5),1,
ONG 7 TOA PAYOH (BLK 6),1,
ONG 7 TOA PAYOH (BLK 10),1,
ONG 7 TOA PAYOH (BLK 17),2,
ONG 7 TOA PAYOH (BLK 20),1,
NG 8 TOA PAYOH (BLK 226),1,
NG 8 TOA PAYOH (BLK 235),1,
Location,No. of Dengue Cases,
GUILLEMARD ROAD,1,
LORONG 28 GEYLANG,4,
LORONG 30 GEYLANG,1,
LORONG 32 GEYLANG,3,
LORONG 34 GEYLANG,1,
Location,No. of Dengue Cases,
HUN AVENUE 7 (BLK 170),3,
HUN AVENUE 7 (BLK 172),5,
HUN RING ROAD (BLK 167),1,
Location,No. of Dengue Cases,
JALAN KECHOT,1,
LORONG MARZUKI,1,
LORONG SARINA,6,
Location,No. of Dengue Cases,
JALAN LAPANG,3,
JALAN SENTOSA,1,
JALAN WARINGIN,1,
WARINGIN PARK,2,
WARINGIN WALK,1,
Location,No. of Dengue Cases,
BALMORAL PARK,5,
ROBIN ROAD,2,
Location,No. of Dengue Cases,
JALAN GIRANG,1,
LORONG BIAWAK,4,
SERANGOON AVENUE 2,2,
Location,No. of Dengue Cases,
INES STREET 42 (BLK 450E),2,
INES STREET 42 (BLK 450G),1,
PINES STREET 42 (BLK 451),1,
PINES STREET 42 (BLK 454),1,
PINES STREET 42 (BLK 455),1,
PINES STREET 42 (BLK 458),1,
Location,No. of Dengue Cases,
RESERVOIR ROAD (BLK 722),1,
RESERVOIR ROAD (BLK 724),1,
RESERVOIR ROAD (BLK 725),3,
EDOK RESERVOIR ROAD,1,
Location,No. of Dengue Cases,
JALAN GEMBIRA,1,
JALAN MULIA,1,
JALAN SETIA,2,
MULBERRY AVENUE,1,
ER ALJUNIED LANE (BLK 4),1,
Location,No. of Dengue Cases,
ONG 5 TOA PAYOH (BLK 45),5,
"",,3/
"",
Location,No. of Dengue Cases
PASIR RIS DRIVE 1,2
SIR RIS DRIVE 1 (BLK 531),1
SIR RIS DRIVE 1 (BLK 532),1
SIR RIS DRIVE 1 (BLK 536),1
Location,No. of Dengue Cases
HUN RING ROAD (BLK 107),3
HUN RING ROAD (BLK 110),1
HUN RING ROAD (BLK 114),1
"",
Location,No. of Dengue Cases
CEDARWOOD GROVE,1
OAKWOOD GROVE,2
WOODGROVE AVENUE,1
"",
Location,No. of Dengue Cases
GUILLEMARD ROAD,2
LORONG 4 GEYLANG,1
LORONG 8 GEYLANG,1
Location,No. of Dengue Cases
GANG AVENUE 5 (BLK 304),1
GANG AVENUE 5 (BLK 306),1
GANG AVENUE 5 (BLK 310),1
GANG AVENUE 5 (BLK 324),1
"",
Location,No. of Dengue Cases
LAN TECK WHYE (BLK 151),3
CK WHYE LANE (BLK 13),1
"",
Location,No. of Dengue Cases
G WEST STREET 42 (BLK 447),1
G WEST STREET 42 (BLK 450),1
G WEST STREET 42 (BLK 452),1
G WEST STREET 42 (BLK 550),1
Location,No. of Dengue Cases
KAKI BUKIT PLACE,3
KAKI BUKIT ROAD 1,1
Location,No. of Dengue Cases
SIR RIS DRIVE 6 (BLK 420),1
SIR RIS DRIVE 6 (BLK 426),1
SIR RIS DRIVE 6 (BLK 427),1
SIR RIS DRIVE 6 (BLK 446),1
Location,No. of Dengue Cases
OON NORTH AVENUE 1 (BLK 102),3
OON NORTH AVENUE 1 (BLK 153),1
"",
Location,No. of Dengue Cases
MIRALTY DRIVE (BLK 356C),3
"",
Location,No. of Dengue Cases
NDEMEER ROAD (BLK 44),1
NDEMEER ROAD (BLK 47),1
HAMPOA SOUTH (BLK 49),1
Location,No. of Dengue Cases
ATOK EAST AVENUE 3 (BLK 230),1
ATOK EAST AVENUE 5 (BLK 235),1
ATOK EAST AVENUE 5 (BLK 237),1
"",
Location,No. of Dengue Cases
NTONMENT CLOSE (BLK 8),1
CANTONMENT ROAD,1
YAN KIT ROAD,1
Location,No. of Dengue Cases
HANDER ROAD (BLK 668),1
KLANG LANE (BLK 671B),1
RACE COURSE ROAD,1
Location,No. of Dengue Cases
HU KANG AVENUE 4 (BLK 420),2
HU KANG AVENUE 4 (BLK 423),1
"",
Location,No. of Dengue Cases
MENTI AVENUE 5 (BLK 326),2
MENTI AVENUE 5 (BLK 327),1
Location,No. of Dengue Cases
GILSTEAD ROAD,3
Location,No. of Dengue Cases
GANG STREET 21 (BLK 233),3
Location,No. of Dengue Cases
JOO AVENUE,1
RANGOON ROAD,2
"",
Location,No. of Dengue Cases
G CHING ROAD (BLK 339A),1
H CHING ROAD (BLK 337C),1
H CHING ROAD (BLK 337D),1
"",
Location,No. of Dengue Cases
LORONG 14 GEYLANG,1
LORONG 16 GEYLANG,2
Location,No. of Dengue Cases
SERENADE WALK,3
Location,No. of Dengue Cases
SIMS DRIVE (BLK 40),1
SIMS DRIVE (BLK 44),2
Location,No. of Dengue Cases
SUNSET SQUARE,1
SUNSET WAY,2
Location,No. of Dengue Cases
MPINES ST 82 (BLK 842B),1
MPINES ST 82 (BLK 842F),1
MPINES ST 82 (BLK 842G),1
Location,No. of Dengue Cases
DLANDS AVENUE 6 (BLK 761),1
DLANDS AVENUE 6 (BLK 763),2
Location,No. of Dengue Cases
DLANDS DRIVE 73 (BLK 686B),1
DLANDS DRIVE 75 (BLK 688A),1
DLANDS DRIVE 75 (BLK 690B),1
"",
Location,No. of Dengue Cases
ALEXANDRA ROAD,1
QUEENSWAY,1
Location,No. of Dengue Cases
ANG MO KIO 3 (BLK 102),2
"",
Location,No. of Dengue Cases
K NORTH STREET 3 9BLK 532),1
K NORTH STREET 3 9BLK 533),1
Location,No. of Dengue Cases
HAN STREET 23 (BLK 205),2
"",
Location,No. of Dengue Cases
HAN STREET 24 (BLK 273A),1
HAN STREET 24 (BLK 275A),1
"",
Location,No. of Dengue Cases
KIT MERAH VIEW (BLK 112),1
IT MERAH VIEW (BLK 124B),1
Location,No. of Dengue Cases
ANJANG RING ROAD (BLK 429),1
ANJANG RING ROAD (BLK 432),1
"",
Location,No. of Dengue Cases
HU KANG AVENUE 2 (BLK 297B),2
"",
Location,No. of Dengue Cases
DALHOUSIE LANE,2
Location,No. of Dengue Cases
ENG KONG GARDEN,2
Location,No. of Dengue Cases
RNVALE ROAD (BLK 443A),1
RNVALE ROAD (BLK 443C),1
"",
Location,No. of Dengue Cases
ANGSA ROAD (BLK 153),1
ANGSA ROAD (BLK 154),1
Location,No. of Dengue Cases
EYLANG EAST AVENUE 1,1
LORONG 27 GEYLANG,1
"",
"",
Location,No. of Dengue Cases
AVELOCK ROAD (BLK 50),1
ER DELTA ROAD (BLK 48),1
"",
Location,No. of Dengue Cases
HORNE ROAD,1
GEORGES AVENUE (BLK 807),1
"",
Location,No. of Dengue Cases
GANG AVENUE 10 (BLK 408),2
"",
Location,No. of Dengue Cases
GANG AVENUE 8 (BLK 434),1
GANG AVENUE 8 (BLK 435),1
Location,No. of Dengue Cases
JALAN ARIF,1
JALAN TANI,1
Location,No. of Dengue Cases
JALAN RAJAH,2
Location,No. of Dengue Cases
LAN TECK WHYE (BLK 160),2
"",
Location,No. of Dengue Cases
JALAN TUA KONG,2
Location,No. of Dengue Cases
KAKI BUKIT AVENUE 3,2
Location,No. of Dengue Cases
MANDALAY ROAD,1
MINBU ROAD,1
Location,No. of Dengue Cases
PARK VILLAS GREEN,1
PARK VILLAS RISE,1
"",
Location,No. of Dengue Cases
SIR RIS DRIVE 4 (BLK 234),1
SIR RIS DRIVE 4 (BLK 483),1
Location,No. of Dengue Cases
SIR RIS DRIVE 4 (BLK 458),2
"",
Location,No. of Dengue Cases
PINES STREET 21 (BLK 257),1
PINES STREET 21 (BLK 262),1
Location,No. of Dengue Cases
THIRD AVENUE,2
"",
Location,No. of Dengue Cases
DLANDS AVENUE 3 (BLK 348),1
DLANDS STREET 32 (BLK 346),1
"",
Location,No. of Dengue Cases
"",
DLANDS STREET 41 (BLK 413),1,
Location,No. of Dengue Cases,
HUN STREET 71 (BLK 713),1,
HUN STREET 71 (BLK 715),1,
nnect With Us,"GO TONEA Website"
"",
"",
t Agency,,,,
Feedback,FAQS,Contact Us,,
Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
cases occur within 14 days and the homes of the dengue,,,,
"cluster boundary, please click on the cluster locality.",,,,
r. Each alert level is associated with a list of preventive actions,,,,
There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
Yellow,,,,
ext Green,,,,
Breakdown,,,,
Location No. of Dengue Cases,,,,
DOK NORTH ROAD (BLK 705),,3,,
DOK NORTH ROAD (BLK 706),,13,,
DOK NORTH ROAD (BLK 707),,2,,
DOK NORTH ROAD (BLK 708),,7,,
K RESERVOIR ROAD (BLK 701),,12,,
K RESERVOIR ROAD (BLK 702),,8,,
K RESERVOIR ROAD (BLK 703),,18,,
K RESERVOIR ROAD (BLK 704),,9,,
K RESERVOIR ROAD (BLK 705),,5,,
K RESERVOIR ROAD (BLK 709),,2,,
K RESERVOIR ROAD (BLK 711),,5,,
K RESERVOIR ROAD (BLK 712),,1,,
K RESERVOIR ROAD (BLK 713),,3,,
K RESERVOIR ROAD (BLK 714),,2,,
K RESERVOIR ROAD (BLK 715),,2,,
K RESERVOIR ROAD (BLK 716),,1,,
K RESERVOIR ROAD (BLK 717),,3,,
K RESERVOIR ROAD (BLK 718),,3,,
K RESERVOIR ROAD (BLK 719),,3,,
K RESERVOIR ROAD (BLK 720),,1,,
"",,,,1/
K RESERVOIR ROAD (BLK 721),2
K RESERVOIR ROAD (BLK 740),5
EDOK RESERVOIR ROAD,40
OK RESERVOIR CRESCENT,2
Location,No. of Dengue Cases
ORCHARD ROAD,84
Location,No. of Dengue Cases
JALAN BELIBAS,3
JALAN CHEGAR,3
JALAN CHEMPAH,1
JALAN HARI RAYA,2
JALAN KELI,3
JALAN KHAMIS,1
JALAN IKAN MERAH,11
JALAN ISNIN,5
JALAN MINGGU,3
JALAN PINTAU,4
JALAN SEMBILANG,1
JALAN TERUBOK,4
SHUNFU ROAD (BLK 311),1
SHUNFU ROAD (BLK 315),1
SHUNFU ROAD (BLK 317),1
SIN MING ROAD (BLK 23),2
SIN MING ROAD (BLK 24),2
SIN MING ROAD (BLK 25),4
Location,No. of Dengue Cases
FLOWER ROAD,6
GLASGOW ROAD,2
HIGHLAND CLOSE,1
KOVAN ROAD,9
LOWLAND ROAD,6
PALM GROVE AVENUE,3
PHILLIPS AVENUE,2
RICHARDS AVENUE,8
RICHARDS PLACE,6
TEOW HOCK AVENUE,1
PPER SERANGOON ROAD,2
Location,No. of Dengue Cases
DUBLIN ROAD,6
EBER ROAD,3
LLOYD ROAD,2
OXLEY RISE,4
OXLEY ROAD,3
PENANG ROAD,1
Location,No. of Dengue Cases
BALMORAL CRESCENT,14
BALMORAL ROAD,3
BUKIT TIMAH ROAD,1
Location,No. of Dengue Cases
RONG 7 TOA PAYOH (BLK 1),1
RONG 7 TOA PAYOH (BLK 3),1
RONG 7 TOA PAYOH (BLK 2),1
RONG 7 TOA PAYOH (BLK 4),1
RONG 7 TOA PAYOH (BLK 5),1
RONG 7 TOA PAYOH (BLK 6),1
RONG 7 TOA PAYOH (BLK 8),1
ONG 7 TOA PAYOH (BLK 10),1
ONG 7 TOA PAYOH (BLK 17),2
ONG 7 TOA PAYOH (BLK 20),1
ONG 8 TOA PAYOH (BLK 226),1
ONG 8 TOA PAYOH (BLK 235),1
Location,No. of Dengue Cases
JALAN KECHOT,1
LORONG MARZUKI,1
LORONG RAHMAT,1
Location,No. of Dengue Cases
JALAN GEMBIRA,1
JALAN MULIA,3
JALAN SETIA,3
JOO SENG ROAD (BLK 20),1
JOO SENG ROAD (BLK 21),2
PER ALJUNIED LANE (BLK 4),1
Location,No. of Dengue Cases
DEVONSHIRE ROAD,10
Location,No. of Dengue Cases
ISHUN AVENUE 7 (BLK 170),3
ISHUN AVENUE 7 (BLK 172),5
SHUN RING ROAD (BLK 167),1
Location,No. of Dengue Cases
JALAN LAPANG,3
JALAN SENTOSA,1
JALAN WARINGIN,1
WARINGIN PARK,2
WARINGIN WALK,1
Location,No. of Dengue Cases
ASIR RIS DRIVE 6 (BLK 420),1
ASIR RIS DRIVE 6 (BLK 426),2
ASIR RIS DRIVE 6 (BLK 427),1
ASIR RIS DRIVE 6 (BLK 428),1
ASIR RIS DRIVE 6 (BLK 446),2
Location,No. of Dengue Cases
SHUN RING ROAD (BLK 107),3
SHUN RING ROAD (BLK 110),2
SHUN RING ROAD (BLK 111),1
SHUN RING ROAD (BLK 114),1
Location,No. of Dengue Cases
NTONMENT CLOSE (BLK 8),1
CANTONMENT ROAD,3
YAN KIT ROAD,1
Location,No. of Dengue Cases
CLAYMORE ROAD,3
DRAYCOTT PARK,2
Location,No. of Dengue Cases
GILSTEAD ROAD,5
Location,No. of Dengue Cases
SIMS DRIVE (BLK 40),2
SIMS DRIVE (BLK 44),3
Location,No. of Dengue Cases
EMENTI AVENUE 5 (BLK 326),3
EMENTI AVENUE 5 (BLK 327),1
Location,No. of Dengue Cases
LAN TECK WHYE (BLK 151),3
ECK WHYE LANE (BLK 13),1
"",
Location,No. of Dengue Cases
JOO AVENUE,1
RANGOON ROAD,2
SING AVENUE,1
Location,No. of Dengue Cases
ASIR RIS DRIVE 4 (BLK 234),1
ASIR RIS DRIVE 4 (BLK 478),1
ASIR RIS DRIVE 4 (BLK 483),1
ASIR RIS DRIVE 6 (BLK 469),1
Location,No. of Dengue Cases
SHUN STREET 71 (BLK 713),1
SHUN STREET 71 (BLK 715),1
SHUN STREET 71 (BLK 717),1
SHUN STREET 71 (BLK 724),1
Location,No. of Dengue Cases
BEATTY ROAD,1
LAVENDER STREET,2
Location,No. of Dengue Cases
ENDEMEER ROAD (BLK 44),1
ENDEMEER ROAD (BLK 47),1
HAMPOA SOUTH (BLK 49),1
Location,No. of Dengue Cases
HAN STREET 24 (BLK 273A),1
HAN STREET 24 (BLK 275A),1
SHAN STREET 24 (BLK 290),1
Location,No. of Dengue Cases
CANBERRA DRIVE,3
Location,No. of Dengue Cases
DALHOUSIE LANE,2
UPPER DICKSON ROAD,1
Location,No. of Dengue Cases
ENG KONG GARDEN,3
Location,No. of Dengue Cases
JALAN BAHAGIA (BLK 30),1
JALAN BAHAGIA (BLK 32),1
HAMPOA ROAD (BLK 115),1
Location,No. of Dengue Cases
JALAN RAJAH,2
JALAN RAMA RAMA,1
Location,No. of Dengue Cases
NG 1A TOA PAYOH (BLK 138B),1
NG 1A TOA PAYOH (BLK 138C),1
NG 1A TOA PAYOH (BLK 139B),1
Location,No. of Dengue Cases
MURAI FARMWAY,3
Location,No. of Dengue Cases
PARK VILLAS GREEN,2
PARK VILLAS RISE,1
"",
"",
Location,No. of Dengue Cases
ASIR RIS DRIVE 4 (BLK 458),2
ASIR RIS DRIVE 6 (BLK 454),1
"",
Location,No. of Dengue Cases
SIR RIS STREET 21 (BLK 258),3
"",
Location,No. of Dengue Cases
SERENADE WALK,3
Location,No. of Dengue Cases
ISHUN AVENUE 2 (BLK 776),1
ISHUN AVENUE 3 (BLK 772),1
ISHUN AVENUE 3 (BLK 773),1
Location,No. of Dengue Cases
SHUN STREET 21 (BLK 219),2
SHUN STREET 21 (BLK 223),1
Location,No. of Dengue Cases
AMBER GARDENS,2
Location,No. of Dengue Cases
MO KIO AVENUE 1 (BLK 319),1
MO KIO AVENUE 1 (BLK 342),1
Location,No. of Dengue Cases
BARTLEY ROAD,1
EDEN GROVE,1
Location,No. of Dengue Cases
CHU KANG CENTRAL (BLK 215),1,
Location,No. of Dengue Cases,
FARRER ROAD,2,
Location,No. of Dengue Cases,
HONG SAN WALK,2,
Location,No. of Dengue Cases,
GANG AVENUE 10 (BLK 515),1,
GANG AVENUE 10 (BLK 516),1,
"",,
Location,No. of Dengue Cases,
UGANG AVENUE 8 (BLK 467),2,
"",,
Location,No. of Dengue Cases,
JALAN KELICHAP,1,
PAYA LEBAR WALK,1,
Location,No. of Dengue Cases,
NG EAST STREET 21 (BLK 227),2,
Location,No. of Dengue Cases,
NG WEST STREET 41 (BLK 461),1,
NG WEST STREET 41 (BLK 469),1,
"",,
Location,No. of Dengue Cases,
UPPER CHANGI ROAD (BLK 27),2,
"",,
Location,No. of Dengue Cases,
PASIR RIS DRIVE 3,2,
Location,No. of Dengue Cases,
SIR RIS STREET 12 (BLK 104),1,
SIR RIS STREET 12 (BLK 105),1,
Location,No. of Dengue Cases,
RIVER VALLEY ROAD,2,
Location,No. of Dengue Cases,
RIVIERA DRIVE,1,
PPER EAST COAST ROAD,1,
Location,No. of Dengue Cases,
SELETAR GREEN VIEW,2,
Location,No. of Dengue Cases,
KANG EAST WAY (BLK 325C),2,
"",,
Location,No. of Dengue Cases,
T GEORGES LANE (BLK 4B),1,
T GEORGES LANE (BLK 5),1,
Location,No. of Dengue Cases,
ST THOMAS WALK,2,
"",,
Location,No. of Dengue Cases,
DLANDS STREET 31 (BLK 319),1,
DLANDS STREET 32 (BLK 320),1,
"",,
nnect With Us,"GO TONEA Website"
"",
"",
t Agency,,,,
Feedback,FAQS,Contact Us,,
Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
cases occur within 14 days and the homes of the dengue,,,,
"cluster boundary, please click on the cluster locality.",,,,
r. Each alert level is associated with a list of preventive actions,,,,
There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
Yellow,,,,
ext Green,,,,
Breakdown,,,,
Location No. of Dengue Cases,,,,
OK NORTH ROAD (BLK 705),,3,,
OK NORTH ROAD (BLK 706),,13,,
OK NORTH ROAD (BLK 707),,2,,
OK NORTH ROAD (BLK 708),,7,,
K RESERVOIR ROAD (BLK 701),,12,,
K RESERVOIR ROAD (BLK 702),,8,,
K RESERVOIR ROAD (BLK 703),,18,,
K RESERVOIR ROAD (BLK 704),,9,,
K RESERVOIR ROAD (BLK 705),,5,,
K RESERVOIR ROAD (BLK 709),,2,,
K RESERVOIR ROAD (BLK 711),,6,,
K RESERVOIR ROAD (BLK 712),,1,,
K RESERVOIR ROAD (BLK 713),,3,,
K RESERVOIR ROAD (BLK 714),,2,,
K RESERVOIR ROAD (BLK 715),,2,,
K RESERVOIR ROAD (BLK 716),,1,,
K RESERVOIR ROAD (BLK 717),,3,,
K RESERVOIR ROAD (BLK 718),,3,,
K RESERVOIR ROAD (BLK 719),,3,,
K RESERVOIR ROAD (BLK 720),,1,,
"",,,,1/
K RESERVOIR ROAD (BLK 721),3
K RESERVOIR ROAD (BLK 740),5
EDOK RESERVOIR ROAD,41
OK RESERVOIR CRESCENT,2
Location,No. of Dengue Cases
ORCHARD ROAD,93
Location,No. of Dengue Cases
JALAN BELIBAS,3
JALAN CHEGAR,3
JALAN CHEMPAH,1
JALAN HARI RAYA,4
JALAN KELI,3
JALAN KHAMIS,2
JALAN IKAN MERAH,11
JALAN ISNIN,5
JALAN MINGGU,3
JALAN PINTAU,4
JALAN SEMBILANG,3
JALAN TERUBOK,4
SHUNFU ROAD (BLK 311),1
SHUNFU ROAD (BLK 314),1
SHUNFU ROAD (BLK 315),1
SHUNFU ROAD (BLK 317),1
SIN MING ROAD (BLK 23),1
SIN MING ROAD (BLK 24),2
SIN MING ROAD (BLK 25),6
Location,No. of Dengue Cases
DA SILVA LANE,3
FLOWER ROAD,8
GLASGOW ROAD,2
HIGHLAND CLOSE,1
HIGHLAND ROAD,1
HIGHLAND WALK,1
KOVAN ROAD,9
LOWLAND ROAD,7
PALM GROVE AVENUE,3
PHILLIPS AVENUE,4
RICHARDS AVENUE,9
RICHARDS PLACE,7
TEOW HOCK AVENUE,1
PPER SERANGOON ROAD,2
Location,No. of Dengue Cases
BALMORAL CRESCENT,16
BALMORAL ROAD,4
BUKIT TIMAH ROAD,2
Location,No. of Dengue Cases
DUBLIN ROAD,4
EBER ROAD,3
LLOYD ROAD,2
OXLEY RISE,4
OXLEY ROAD,3
OXLEY WALK,1
PENANG ROAD,1
Location,No. of Dengue Cases
JALAN GEMBIRA,1
JALAN MULIA,3
JALAN SETIA,4
OO SENG ROAD (BLK 20),1
OO SENG ROAD (BLK 21),3
UPPER ALJUNIED LINK,1
PER ALJUNIED LANE (BLK 4),1
Location,No. of Dengue Cases
DEVONSHIRE ROAD,11
Location,No. of Dengue Cases
"",
SHUN AVENUE 7 (BLK 172),5
SHUN AVENUE 7 (BLK 173),1
HUN RING ROAD (BLK 165),1
HUN RING ROAD (BLK 167),1
Location,No. of Dengue Cases
JALAN LAPANG,4
JALAN SENTOSA,1
JALAN WARINGIN,1
WARINGIN PARK,2
WARINGIN WALK,2
Location,No. of Dengue Cases
SHUN AVENUE 5 (BLK 701),1
HUN RING ROAD (BLK 102),1
HUN RING ROAD (BLK 107),3
HUN RING ROAD (BLK 110),2
HUN RING ROAD (BLK 111),2
HUN RING ROAD (BLK 114),1
Location,No. of Dengue Cases
DUNEARN ROAD,2
GILSTEAD ROAD,7
Location,No. of Dengue Cases
SIR RIS DRIVE 6 (BLK 420),1
SIR RIS DRIVE 6 (BLK 426),3
SIR RIS DRIVE 6 (BLK 427),1
SIR RIS DRIVE 6 (BLK 428),1
SIR RIS DRIVE 6 (BLK 446),2
Location,No. of Dengue Cases
GUILLEMARD ROAD,2
LORONG 4 GEYLANG,1
LORONG 6 GEYLANG,3
LORONG 8 GEYLANG,1
Location,No. of Dengue Cases
ANTHONY ROAD,1
CAIRNHILL CIRCLE,3
CAIRNHILL ROAD,1
PECK HAY ROAD,1
Location,No. of Dengue Cases
BALESTIER ROAD,4
JALAN AMPAS,1
JALAN KEMAMAN,1
Location,No. of Dengue Cases
NGGOL PLACE (BLK 273A),2
NGGOL PLACE (BLK 274A),1
NGGOL PLACE (BLK 274B),1
NGGOL PLACE (BLK 274C),1
NGGOL PLACE (BLK 274D),1
Location,No. of Dengue Cases
ASSIA CRESCENT (BLK 54),1
JALAN TIGA (BLK 43),1
JALAN TIGA (BLK 47),3
"",
Location,No. of Dengue Cases
CLAYMORE ROAD,3
DRAYCOTT PARK,2
Location,No. of Dengue Cases
EYLANG BAHRU (BLK 62),2
ALLANG BAHRU (BLK 64),1
ALLANG BAHRU (BLK 65),1
Location,No. of Dengue Cases
NG EAST STREET 21 (BLK 234),2
NG EAST STREET 21 (BLK 238),2
"",
Location,No. of Dengue Cases
"",
M KEAT AVENUE (BLK 253),1
OA PAYOH EAST (BLK 27),1
Location,No. of Dengue Cases
SELETAR GREEN VIEW,4
Location,No. of Dengue Cases
TUAS SOUTH AVENUE 1,4
Location,No. of Dengue Cases
K RESERVOIR ROAD (BLK 110),1
K RESERVOIR ROAD (BLK 121),1
K RESERVOIR ROAD (BLK 123),1
Location,No. of Dengue Cases
GUILLEMARD ROAD,1
LORONG 28 GEYLANG,1
LORONG 30 GEYLANG,1
Location,No. of Dengue Cases
HILLVIEW AVENUE,3
"",
Location,No. of Dengue Cases
UGANG AVENUE 8 (BLK 467),2
GANG AVENUE 10 (BLK 406),1
"",
Location,No. of Dengue Cases
HUME AVENUE,3
Location,No. of Dengue Cases
JOO SENG ROAD (BLK 8),1
OO SENG ROAD (BLK 12),2
Location,No. of Dengue Cases
NG EAST STREET 21 (BLK 203),1
NG EAST STREET 21 (BLK 206),1
NG EAST STREET 21 (BLK 207),1
"",
Location,No. of Dengue Cases
LEONIE HILL,3
Location,No. of Dengue Cases
ONG 1 TOA PAYOH (BLK 237),2
ONG 1 TOA PAYOH (BLK 238),1
Location,No. of Dengue Cases
LORONG 3 GEYLANG,1
R BOON KENG ROAD (BLK 38),2
"",
Location,No. of Dengue Cases
MARTIN PLACE,2
RIVER VALLEY ROAD,1
Location,No. of Dengue Cases
ROBINSON QUAY,1
RODYK STREET,2
Location,No. of Dengue Cases
TAMPINES STREET 73,3
"",
Location,No. of Dengue Cases
DLANDS STREET 31 (BLK 319),2
DLANDS STREET 32 (BLK 320),1
"",
Location,No. of Dengue Cases
SHUN AVENUE 2 (BLK 776),1
SHUN AVENUE 3 (BLK 772),1
SHUN AVENUE 3 (BLK 773),1
